38,"MFR de Saint-Barthélémy, 70 route de Marcollin 38270 Saint-Barthelemy, France"
40,"Château d'Aon, 40190 Hontanx, France"
41,"Château de Chémery, 41700 Chémery, France"
41,"Domaine des Bois Argentés (La Ferme de Saugirard), 41200 Prunier En Sologne, France"
41,"Gîte de Beaulieu, Beaulieu, 41170 Le Plessis-Dorin, France"
42,"Chalets du Haut Forez, Le Plan D'eau, Route D'apinac, 42550 Usson-en-Forez, France"
42,"Préfabrique de l'innovation,  5 rue Javelin Pagnon,  42100 Saint-Etienne, Paris, France"
43,"Château de Marcou, Marcoux, 43290 Montregard, France"
44,"La Carrière, Le Bellion, 44460 Fégréac, France"
44,"Maison des Jeux de Nantes, 14 rue Michel Rocher, 44200 Nantes, France"
44,"Salle polyvalente de Moisdon, 44520 Moisdon-La-Rivière, France"
44,"Le Big Ben, 1 rue Kervégan, 44000 Nantes, France"
45,"Chateau de Vaulfin, Vaulfin, 45320 Courtenay, France"
45,"Don'ry Beach, 45450 Donnery, France"
47,"Hameau du Manoir de La Gabertie, La Gabertie, 47370 Thézac, France"
47,"Château de Saint Loup en Albret, 47600 Montagnac-sur-Auvignon, France"
49,"Chevalerie de Sacé - Site Archéologique & Jardin Botanique, 1 rue du vieux logis, 49650 Brain-Sur-Allonnes, France"
49,"Château de Serrant, 49170 Saint-Georges-sur-Loire, France"
49,"Château des Loges, 49017 Baracé, France"
49,"Club des Conjurés du Temporel (derrière la SPA), Promenade de la Baumette, 49000 Angers, France"
49,"Lieu dit L'Adezière, route de l'Adezière, 49240 Avrillé, France"
51,"Château de Réveillon, 1 rue du Château, 51310 Réveillon, France"
51,"Fort de Montbré, 51500 Taissy, France"
52,"Fort du Cognelot (Fort Vercingetorix), 52600 Chalindrey, France"
53,"Site de Bel Air (Village Vacances et Nature), Saint-Charles-la-Forêt 53170, France"
53,"Château du Bourg, 8 Rue du Maine, 53500 Saint-Denis-de-Gastines, France"
53,"Echologia, Bas Barbé, 53950 Louverné, France"
53,"Le Bois du Tay (Gîte du Bois du Tay), Le Bois du Tay La Croix du Hêtre, 53160 Hambers, France"
53,"Domaine du Denais, Lieu-dit Denais, 53290 Saint-Denis-d'Anjou, France"
53,"Domaine du Denais, Lieu-dit Denais, 53290 Saint-Denis-d'Anjou, France"
54,"Fort Event (Fort Aventure, Fort Pélissier, Les Vaines Terres), 54550 Bainville-sur-Madon, France"
54,"Village Commando Bainville sur Madon, Les Vaines Terres, 54550 Bainville-Sur-Madon, France"
55,"Fort de Jouy-sous-les-côtes, Parc Naturel Régional de Lorraine, 55200 Geville, France"
56,"Base de loisirs L'Étang d'Aleth, 56380 Saint-Malo-de-Beignon, France"
56,"Camp du Dragon, 19 Rue de la Quintaine, 56430 Saint-Brieuc-de-Mauron, France"
57,"Château de Lutzelbourg, 31 Rue du Canal, 57820 Lutzelbourg, France"
57,"Château Saint Sixte, Rue du château, 57320 Freistroff Moselle, France"
59,"Bibliotheque Universitaire Lille 3, 59650 Villeneuve-d'Ascq, France"
59,"Dernier Bar avant la Fin du Monde Lille, 12 rue de Pas, 59800 Lille, France"
59,"Dame C, 33 rue des Bouchers, 59800 Lille, France"
59,"Maison des Etudiants, Université Lille 1, Avenue Carl Gauss, 59650 Villeneuve-d'Ascq, France"
59,"Le Biplan, 19 Rue Colbert, 59000 Lille, France"
60,"Château de Chambly, rue d'Amblaincourt, 60230 Chambly, France"
60,"Mines du Roi Nain, 9 Rue du Four À Chaux, 60740 Saint-Maximin, France"
61,"Gîte du Domaine de Pont-Ramond, Pont Ramond, 61100 La Chapelle-au-Moine, France"
61,"Energie Paintball, lieu-dit Grande Vienne, 61210 Putanges, France"
62,"La Nuit Magique, 16 rue de Pernes, 62550 Bailleul-lès-Pernes, France"
63,"Château de Ravel, 63190 Ravel, France"
63,"Château de Saint Cirgues, 63320 Saint-Cirgues-sur-Couze, France"
63,"Gites Hélio-Ferme, La Roche, 63490 Brousse, France"
63,"Centre EEDF du Domaine de la Planche, 63250 Viscomtat, France"
63,"Chartreuse de Port-Sainte-Marie, 63230 Chapdes-Beaufort, France"
66,"Centre EEDF du Cambre d'Aze, 29 Las Creus, 66210 Saint-Pierre-dels-Forçats, France"
66,"Prieuré de Marcevol, Hameau Marcevol, 66320 Arboussols, France"
67,"AAHJ, 38 Route de Schirmeck, 67200 Strasbourg, France"
67,"Phare de l'Ill, 29 Rue du Général Libermann, 67400 Illkirch-Graffenstaden, France"
67,"Bibliothèque nationale et universitaire, 6 place de la République, 67000 Strasbourg, France"
67,"Maison des Jeux de Strasbourg, 38 Route de Schirmeck, 67200 Strasbourg, France"
67,"Fort Rapp, Rue du Fort, 67116 Reichstett, France"
67,"Château de Rohan, 39, rue du Château Mutzig 67190, France"
68,"La Tanière, 261 Ribeaugoutte, 68650 Lapoutroie, France"
69,"Estaminet Le Ch'ti Pot Ney, 39 rue Ney, 69006 Lyon, France"
69,"Gîte de la Sarrasine, Château des Tours, 69460 Saint-Etienne-La-Varenne, France"
69,"L'Atenium la Taverne, 80 rue Montesquieu, 69007 Lyon, France"
69,"Parc Médiéval de Salva Terra, 375 Rue du Pavé, 69610 Haute-Rivoire, France"
69,"Gîte de la Sarrasine, Château des Tours, 69460 Saint-Etienne-La-Varenne, France"
69,"Gîte de Gros-Bois (Gîte d'Ouroux), 69860 Ouroux, France"
69,"Overcraft Café, 4 rue de la Baleine, 69005 Lyon, France"
69,"Centre Social de Cusset, 87-89 Rue Pierre Voyant, 69100 Villeurbanne, France"
70,"Fort de Château-Lambert - la Tête de l'Ours, 70440 Le Haut-du-Them, France"
72,"La Citadelle des Anges, La Roche, 72220 Teloché, France"
72,"Maison Familiale Rural Education Orientation, Mange, 72360 Verneil-le-Chétif, France"
72,"MJC Jacques Prévert, 97 Grande Rue, 72000 Le Mans, France"
72,"Grand Gîte de la Poterie, Lieu dit La Poterie, 72350 Saint-Denis-d'Orques, France"
73,"Fort de Montperché, 73220 Aiton, France"
74,"Essert la Pierre, 74430 Saint-Jean-d'Aulps, France"
75,"Aux Petits Joueurs, 59 Rue de Mouzaïa, 75019 Paris, France"
75,"Brasserie Le Prélude, 3 Rue Meyerbeer, 75009 Paris, France"
75,"Dernier Bar avant la Fin du Monde, 19 avenue Victoria, 75001 Paris, France"
75,"IPN Paris, 23 rue Mouffetard, 75005 Paris, France"
75,"Le Macareux, 15 Rue du Croissant, 75002 Paris, France"
75,"Centre Paris Anim' Montparnasse, 26 allée du Chef d’escadron de Guillebon, Jardin Atlantique, 75014 Paris, France"
76,"Abbaye de Jumièges, Parc naturel régional des Boucles de la Seine Normande, 24 Rue Guillaume le Conquérant, 76480 Jumièges, France"
76,"Ásgard (Waaagh Taverne), 8 rue Saint Denis, 76000 Rouen, France"
76,"Le QG des Avenjoueurs, 18 rue des Fossés Louis VIII, 76000 Rouen, France"
76,"Maison St Sever, 10 Rue Saint-Julien, 76100 Rouen, France"
76,"Domaine des Hellandes, Les Hellandes, 76280 Angerville-l'Orcher, France"
77,"Château de la Grange le Roi, 77166 Grisy-Suisnes, France"
78,"Comite de Quartier Du Vieux Conflans, 4 Place de l'Église, 78700 Conflans-Sainte-Honorine, France"
78,"Terrain d'AMA France Airsoft, 37 Route de Lainville, 78440 Montalet-le-Bois, France"
79,"Château de Vermette, 79300 La Chapelle Gaudin, France"
80,"Le Prieuré d’Authie, 10, rue de l'abbaye, 80560 Authie, France"
80,"Gite de l'Abbaye (Le Prieuré d'Authie), 10 Rue de l'Abbaye 80560 Authie, France"
80,"Auberge de jeunesse d'Amiens - FUAJ, 30 square friant les 4 chênes, 80000 Amiens, France"
81,"Centre EEDF de Foucheval, 81000 Pampelonne, France"
82,"Château de Goudourville, Lieu dit Le Pech, 761, Chemin du Château, 82400 Goudourville, France"
82,"Château de Lavalade, 4048 route de l'Aérodrome, 82100 Castelsarrasin, France"
83,"Les Terres de Saint-Hilaire, RD3, 83470 Ollières, France"
84,"Château de l'Environnement du Parc du Luberon, Parc Naturel régional du Luberon, Col du Pointu, 84480 Buoux, France"
85,"Château de Commequiers, Impasse des Tours, 85220 Commequiers, France"
85,"Hôtel Lodges, Domaine de la Boulaie, La Boulaie, 85590 Treize-Vents, Pays De La Loire, France"
85,"Gîte L'Ancienne Ferme, 85450 Chaillé les Marais, France"
86,"La Mélusine, 86600 Cloué, France"
88,"Domaine le Stat, 88530 Le Tholy, France"
89,"Moulin de Vanneau, 89520 Saints-en-Puisaye, France"
89,"Maison Familiale de Villevallier, 25 Rue Verdeau, 89330 Villevallier, France"
89,"Cafe De La Poèterie, 4 Route des Janets, 89520 Saint-Sauveur-en-Puisaye, France"
90,"Fort de Vézelois, Fort Ordener, Rue de Meroux, 90400 Vézelois, France"
94,"Locaux d'Epitech, 24 Rue Pasteur, 94270 Le Kremlin-Bicêtre, France"
94,"EPITA Campus Paris Villejuif, 66 rue Guy Moquet, 94800 Villejuif, France"
95,"Sanatorium d'Aincourt, 95510 Aincourt, France"
95,"Cormeilles Ludiques, Salle Café-Jeux, Rond-Point du 8 mai, 95240 Cormeilles-en-Parisis, France"
Austria,"Schloss Kobersdorf, 7332 Kobersdorf, Austria"
Belgium,"Le terrain de Jalhay, Arbespine 51, 4845 Jalhay, Belgium"
Belgium,"Château La Tourelle (Château Peltzer), Rue Grétry 1, 4800 Verviers, Belgium"
Belgium,"Collège Saint-Michel, Boulevard Saint-Michel 24, 1040 Etterbeek, Belgium"
Belgium,"De Winner-Hopper jeugdverblijf, Winnerstraat 40, 3900 Overpelt, Belgium"
Belgium,"ECAM (École centrale des arts et métiers), Promenade de l'Alma 50, 1200 Woluwe-Saint-Lambert, Belgium"
Belgium,"Fort de Hollogne, 4460 Grâce-Hollogne, Belgium"
Belgium,"Les Fauvettes, YWCA de Louette-St-Pierre, Route de la Malcampée 127, 5575 Louette-St-Pierre, Belgium"
Belgium,"Rue du Sartis 3, 7350 Hensies, Belgium"
Belgium,"De Winner-Hopper jeugdverblijf, Winnerstraat 40, 3900 Overpelt, Belgium"
Belgium,"Castel Notre-Dame, Obsinnich 6, 3791 Fourons, Belgium"
Belgium,"Chateau de Halloy, 37 Route du Château d'Halloy, 5590 Ciney, Belgium"
Belgium,"Château de Hollogne, Rue de Bierset 6, 4460 Grâce-Hollogne, Belgium"
Czech Republic,"Zřícenina hradu Rabštejn nad Střelou, Rabštejn nad Střelou 2, 331 62 Manětín, Czech Republic"
Czech Republic,"Valeč Castle, Karlovarská, 364 55 Valeč, Czech Republic"
Czech Republic,"Castle Jezeří - Zámek Jezeří, 435 43 Horní Jiřetín, Czech Republic"
Czech Republic,"Zámek Úsobí, Úsobí 1, 582 54 Úsobí, Vysočina, Czech Republic"
Denmark,"Efterskolen Epos, Færgevej 5, 6440 Augustenborg, Denmark"
Denmark,"Kronborg Castle (Elsinor), Kronborg 2C, 3000 Helsingør, Denmark"
Denmark,"Komediehuset, Over gården, Skolegade 7, 8700 Horsens, Denmark"
Germany,"Haus Einschlingen, Schlingenstraße 65, 33649 Bielefeld, Germany"
Germany,"Rittergut Brokeloh, Rittergut Brokeloh 1, 31628 Landesbergen, Germany"
Germany,"Ortenberg Castle, 77799 Ortenberg, Germany"
Italy,"Ostello Modena San Filippo Neri, Via Sant'Orsola, 48, 41100 Modena MO, Italy"
Netherlands,"Kasteel Wijenburg, Voorstraat 2, 4054 MX Echteld, Netherlands"
New Zealand,"Kiwanis Huia Lodge, Little, 1331 Huia Rd, Auckland 0604, New Zealand"
Poland,"Czocha Castle, Sucha, 59-820 Leśna, Poland"
Poland,"Moszna Castle, Zamkowa 1, 47-370 Moszna, Poland"
Poland,"Zamek Kliczkow, 59-724 Kliczków, Poland"
Poland,"Zamek Książąt Mazowieckich, Zamkowa, 96-200 Rawa Mazowiecka, Poland"
Poland,"Wioska Fantasy, 37-700 Kuńkowce, Poland"
Poland,"Moszna Castle, Zamkowa 1, 47-370 Moszna, Poland"
Spain,"Cuevas Al Jatib, Arroyo Curcal, S/N, 18800 Baza, Granada, Spain"
Spain,"Apartamentos Rurales Molino Galán, Partida del Molino Galan, s/n, 46369 Alborache, Valencia, Spain"
Spain,"Airsoft Events Valencia, 46134 Foios, Valencia, Spain"
Switzerland,"Château de L'Isle, Rue du Château 7, 1148 L'Isle, Switzerland"
Switzerland,"Fort d'Artillerie de Champsec-Lac, Route de Champex, 1938 Orsières, Switzerland"
Switzerland,"École polytechnique fédérale de Lausanne, Route Cantonale, 1015 Lausanne, Switzerland"
Switzerland,"Ferme de Combe Tabeillon, 2855 Glovelier, Switzerland"
United Kingdom,"The Nursery Theatre, Arch 61 Ewer St, SE1 0NR London, United Kingdom"
United Kingdom,"The Welsh Drive, Fleet Road (A327), RG27 0PY Fleet, Hampshire, United Kingdom"
United Kingdom,"Herstmonceux Castle, Herstmonceux BN27 1RN, United Kingdom"
USA,"Hilton Orange County / Costa Mesa, 3050 Bristol St, Costa Mesa, CA 92626, USA"
USA,"Walnut Creek Marriott, 2355 N Main Street, Walnut Creek, CA 94596, USA"
